Price,Close,High,Low,Open,Volume
Ticker,BIL,BIL,BIL,BIL,BIL
Date,,,,,
2007-05-30,71.60841369628906,71.60841369628906,71.53023976372198,71.59278129549114,1550
2007-05-31,71.60841369628906,71.60841369628906,71.59278129549114,71.59278129549114,11200
2007-06-01,71.62408447265625,71.62408447265625,71.62408447265625,71.62408447265625,1450
2007-06-04,71.63969421386719,71.63969421386719,71.63969421386719,71.63969421386719,1050
2007-06-05,71.63969421386719,71.67096498400839,71.63969421386719,71.65533258108258,3750
2007-06-06,71.67101287841797,71.67101287841797,71.63974208737996,71.63974208737996,9750
2007-06-07,71.65534210205078,71.65534210205078,71.63970373275751,71.63970373275751,12150
2007-06-08,71.67101287841797,71.67101287841797,71.62410967400771,71.67101287841797,7850
2007-06-11,71.70225524902344,71.70225524902344,71.67098447038013,71.67098447038013,2400
2007-06-12,71.63969421386719,71.7022357541496,71.63969421386719,71.7022357541496,3900
2007-06-13,71.70225524902344,71.70225524902344,71.63971369173683,71.63971369173683,3750
2007-06-14,71.73348999023438,71.73348999023438,71.73348999023438,71.73348999023438,13400
2007-06-15,71.79603576660156,71.79603576660156,71.71786183028966,71.76477096350803,1050
2007-06-18,71.81166076660156,71.82729316523877,71.76475760640201,71.78039000503922,28000
2007-06-19,71.81166076660156,71.81166076660156,71.81166076660156,71.81166076660156,850
2007-06-20,71.82728576660156,71.84292412791585,71.79601500826028,71.79601500826028,3100
2007-06-21,71.82728576660156,71.84292412791585,71.81165336957457,71.81165336957457,850
2007-06-22,71.88984680175781,71.88984680175781,71.84294363365511,71.84294363365511,2200
2007-06-25,71.85859680175781,71.85859680175781,71.84296439596885,71.84296439596885,29700
2007-06-26,71.87423706054688,71.87423706054688,71.84296628385657,71.85859869005633,5100
2007-06-27,71.85859680175781,71.88986757762639,71.85859680175781,71.88986757762639,8200
2007-06-28,71.88984680175781,71.88984680175781,71.88984680175781,71.88984680175781,900
2007-06-29,71.92115020751953,71.92115020751953,71.87424701813143,71.88987942649692,5650
2007-07-02,71.9415512084961,72.00436398717538,71.92584352078059,71.9415512084961,13050
2007-07-03,71.9415512084961,71.9415512084961,71.89443413607715,71.89443413607715,3000
2007-07-05,71.9415512084961,71.9415512084961,71.87873243908923,71.92584352078059,5450
2007-07-06,71.97298431396484,71.97298431396484,71.95727662107241,71.95727662107241,3800
2007-07-09,71.98865509033203,71.98865509033203,71.9258363272079,71.9258363272079,3950
2007-07-10,72.00436401367188,72.00436401367188,71.97296061968446,71.97296061968446,5250
2007-07-11,72.00436401367188,72.00436401367188,71.94155123496947,72.00436401367188,9100
2007-07-12,72.02011108398438,72.02011108398438,71.98870168209385,72.02011108398438,14700
2007-07-13,72.03580474853516,72.03580474853516,72.00439535015072,72.02010304470802,13050
2007-07-16,72.05150604248047,72.06720774491275,72.02009664688626,72.06720774491275,16150
2007-07-17,72.0828857421875,72.0828857421875,72.02006697687843,72.0828857421875,46500
2007-07-18,72.06719207763672,72.06719207763672,72.00437330010497,72.05149037861797,5450
2007-07-19,72.0828857421875,72.09858743815117,72.0357686728421,72.0828857421875,13900
2007-07-20,72.11429595947266,72.1300036476502,72.11429595947266,72.1300036476502,8000
2007-07-23,72.11429595947266,72.1300036476502,72.09859426202287,72.11429595947266,6950
2007-07-24,72.11429595947266,72.1300036476502,72.09859426202287,72.11429595947266,9350
2007-07-25,72.12996673583984,72.14566842525444,72.12996673583984,72.12996673583984,9800
2007-07-26,72.14569091796875,72.1613986030052,72.08287815000267,72.12998922365887,41050
2007-07-27,72.17707061767578,72.23988935053698,71.94150935553239,72.12995956339192,153800
2007-07-30,72.11429595947266,72.19282241890484,72.11429595947266,72.16141303327751,10300
2007-07-31,72.20850372314453,72.20850372314453,72.17709434638789,72.20850372314453,54000
2007-08-01,72.18489837646484,72.21643465976868,72.13759695897458,72.20066952558227,18650
2007-08-02,72.20065307617188,72.20065307617188,72.12181539333929,72.13758052393395,49750
2007-08-03,72.1690673828125,72.24790501166159,72.1690673828125,72.23213989186198,26200
2007-08-06,72.24794006347656,72.26371120585323,72.2164037936517,72.24794006347656,22300
2007-08-07,72.26375579833984,72.2795209355164,72.20068321976929,72.26375579833984,13950
2007-08-08,72.23217010498047,72.27947149908994,72.21639896365862,72.26370637269613,19750
2007-08-09,72.29524230957031,72.32677857976546,72.26371205430368,72.279477181937,103150
2007-08-10,72.34255981445312,72.35832494428574,72.32678866969114,72.34255981445312,112100
2007-08-13,72.35830688476562,72.37407802559137,72.32677061804199,72.34254175886772,71800
2007-08-14,72.34255981445312,72.37409608904773,72.32678866969114,72.34255981445312,130650
2007-08-15,72.35830688476562,72.40560827738716,72.34254175886772,72.37407802559137,40400
2007-08-16,72.45291900634766,72.53175666930693,72.35831020183966,72.35831020183966,122850
2007-08-17,72.50020599365234,72.51597713206698,72.27945817526287,72.29522329875059,84750
2007-08-20,72.56328582763672,72.610587217792,72.4686770323986,72.4686770323986,19750
2007-08-21,72.54753875732422,72.57907503286664,72.45293594562648,72.57907503286664,157700
2007-08-22,72.54753875732422,72.54753875732422,72.4371648003905,72.54753875732422,30000
2007-08-23,72.50020599365234,72.51597713206698,72.43713346984765,72.51597713206698,40250
2007-08-24,72.48443603515625,72.48443603515625,72.3740621333239,72.40559237819612,14050
2007-08-27,72.38980865478516,72.48441740987113,72.38980865478516,72.43711002486565,36050
2007-08-28,72.46866607666016,72.46866607666016,72.40559355603665,72.40559355603665,29250
2007-08-29,72.51602935791016,72.51602935791016,72.45295678868078,72.50025820813718,10550
2007-08-30,72.53176879882812,72.56330507227129,72.46869625194181,72.56330507227129,31650
2007-08-31,72.51602935791016,72.51602935791016,72.4214205040661,72.4371856389078,9650
2007-09-04,72.52709197998047,72.54292405896814,72.44794969954897,72.51126593916175,10900
2007-09-05,72.54293060302734,72.55875664527373,72.49544039994922,72.54293060302734,21400
2007-09-06,72.54293060302734,72.55875664527373,72.49544039994922,72.55875664527373,14500
2007-09-07,72.59037017822266,72.60619621074767,72.52705397179108,72.59037017822266,16150
2007-09-10,72.60626983642578,72.60626983642578,72.51130146864244,72.57461170110737,35100
2007-09-11,72.52709197998047,72.60623426041197,72.51126593916175,72.52709197998047,10300
2007-09-12,72.63789367675781,72.63789367675781,72.54292535381246,72.55875139491367,3450
2007-09-13,72.62206268310547,72.62206268310547,72.52708832846795,72.52708832846795,25300
2007-09-14,72.66950988769531,72.68533591966944,72.60619368346764,72.60619368346764,32650
2007-09-17,72.70120239257812,72.70120239257812,72.55874388473619,72.66954427548342,17350
2007-09-18,72.65369415283203,72.73283640025056,72.57454586724707,72.66952018704916,232950
2007-09-19,72.68540954589844,72.70124163207515,72.60626722952992,72.70124163207515,66750
2007-09-20,72.63789367675781,72.71703595860195,72.63789367675781,72.71703595860195,22250
2007-09-21,72.66950988769531,72.71699402178328,72.63785178558147,72.65368385572118,23450
2007-09-24,72.7327880859375,72.76444617150864,72.65364589109086,72.74861410964185,57850
2007-09-25,72.74871063232422,72.74871063232422,72.65374228776963,72.65374228776963,59000
2007-09-26,72.66950988769531,72.74865212389712,72.66950988769531,72.73282609192299,21250
2007-09-27,72.68540954589844,72.76455790043865,72.66958349789341,72.74872581426193,30100
2007-09-28,72.65369415283203,72.73283640025056,72.65369415283203,72.65369415283203,122600
2007-10-01,72.73309326171875,72.74897465149807,72.66955558402856,72.68543697380788,21900
2007-10-02,72.68547058105469,72.7648957445341,72.68547058105469,72.70135803746628,78200
2007-10-03,72.70137786865234,72.78079699450613,72.68549040790704,72.71725927010674,131200
2007-10-04,72.78076934814453,72.78076934814453,72.74900049801249,72.7648879527228,4700
2007-10-05,72.70137786865234,72.82844725816022,72.70137786865234,72.73314673085204,22200
2007-10-08,72.81256866455078,72.8284500666176,72.71726207427642,72.73314953563438,8300
2007-10-09,72.76487731933594,72.82840895102733,72.76487731933594,72.79664616482549,364450
2007-10-10,72.82845306396484,72.84434052597668,72.78080279651212,72.78080279651212,21400
2007-10-11,72.81256866455078,72.84433752797557,72.79668726248396,72.84433752797557,10200
2007-10-12,72.82845306396484,72.86022192869711,72.79669025852395,72.86022192869711,14250
2007-10-15,72.796630859375,72.84428108794704,72.796630859375,72.82839363889873,32450
2007-10-16,72.84430694580078,72.86018834120013,72.81253809571349,72.82841949111284,14350
2007-10-17,72.8761215209961,72.8761215209961,72.81258378095563,72.84435265097586,59350
2007-10-18,72.8761215209961,72.93965320174415,72.8761215209961,72.92377179638024,12400
2007-10-19,72.93962860107422,72.93962860107422,72.86020948245587,72.92374720106669,100550
2007-10-22,72.90787506103516,72.92375646305976,72.84433733435446,72.89198759971943,185050
2007-10-23,72.90787506103516,72.93963786508438,72.87610619769481,72.92375646305976,12800
2007-10-24,72.93962860107422,72.93962860107422,72.87609694175376,72.93962860107422,27500
2007-10-25,72.92373657226562,72.9396179699584,72.8919677175906,72.9396179699584,12100
2007-10-26,72.89198303222656,72.95552075492591,72.89198303222656,72.92375189357624,15900
2007-10-29,72.95551300048828,72.95551300048828,72.89197528454235,72.92374414251532,7600
2007-10-30,72.92373657226562,72.97138682463343,72.92373657226562,72.97138682463343,5250
2007-10-31,72.93962860107422,72.97139746037962,72.92374720106669,72.95551606037209,13200
2007-11-01,72.98902893066406,73.00496880452553,72.94122146764094,72.95715526222178,32750
2007-11-02,73.03678894042969,73.03678894042969,72.95710178809058,72.98897543317099,8750
2007-11-05,73.03678894042969,73.0527227233318,72.98897543317099,73.03678894042969,16800
2007-11-06,73.03678894042969,73.03678894042969,72.97304165026888,73.03678894042969,16800
2007-11-07,73.08464813232422,73.14839546763557,72.9890271293572,72.9890271293572,218850
2007-11-08,73.03678894042969,73.1005301513143,73.02084907825139,73.0527227233318,147400
2007-11-09,73.1005859375,73.14839948124727,73.06871226809544,73.13245960690458,9400
2007-11-12,73.13243865966797,73.13243865966797,73.08463120889496,73.10056499939293,72400
2007-11-13,73.11650848388672,73.1483821457375,73.08463482203592,73.11650848388672,31400
2007-11-14,73.08464813232422,73.13245559416748,73.05277446466854,73.08464813232422,100950
2007-11-15,73.13243865966797,73.164312319943,73.05275754861994,73.10056499939293,230900
2007-11-16,73.13243865966797,73.14837852944503,73.10056499939293,73.14837852944503,24450
2007-11-19,73.16436004638672,73.16436004638672,73.06873900318628,73.1324863653199,59150
2007-11-20,73.18024444580078,73.18024444580078,73.08462954642975,73.11650320597974,40950
2007-11-21,73.21212005615234,73.21212005615234,73.13243894479365,73.18024639575304,33550
2007-11-23,73.22803497314453,73.22803497314453,73.16428767406816,73.16428767406816,7650
2007-11-26,73.18024444580078,73.27586542445077,73.13243699611526,73.27586542445077,24350
2007-11-27,73.2440414428711,73.2440414428711,73.1643602795916,73.1643602795916,21100
2007-11-28,73.25994873046875,73.27588252432263,73.18026152335825,73.2440088573345,52700
2007-11-29,73.21212005615234,73.27586737695094,73.19618626559225,73.19618626559225,36550
2007-11-30,73.22803497314453,84.62260023449271,73.18022145919873,73.29178227222089,274300
2007-12-03,73.21049499511719,73.35435865953541,73.21049499511719,73.33837651803411,120050
2007-12-04,73.22649383544922,73.29042850843696,73.21050559390665,73.22649383544922,90750
2007-12-05,73.22649383544922,73.27444636462191,73.21050559390665,73.22649383544922,27900
2007-12-06,73.24247741699219,73.29042994710616,73.16255450089301,73.24247741699219,288200
2007-12-07,73.30640411376953,73.30640411376953,73.21049297422934,73.21049297422934,43900
2007-12-10,73.25843048095703,75.32046755615,73.25843048095703,73.30638298804475,206050
2007-12-11,73.35436248779297,73.35436248779297,73.21049881586671,73.30640996305986,41800
2007-12-12,73.33838653564453,73.37035692074075,73.27444576545213,73.33838653564453,24700
2007-12-13,73.37033081054688,73.3863129485437,72.98669242364471,72.98669242364471,27300
2007-12-14,73.32235717773438,73.38629791207116,73.3063750430122,73.37031577734898,33000
2007-12-17,73.35436248779297,73.40231501252607,73.30640996305986,73.32239210539525,44750
2007-12-18,73.35436248779297,73.35436248779297,73.25845743832676,73.27443958066215,26500
2007-12-19,73.38629913330078,73.40228126828892,73.2744058952114,73.38629913330078,25800
2007-12-20,73.41829681396484,73.43427895489863,73.33837391384309,73.33837391384309,14700
2007-12-21,73.41829681396484,73.45026719355883,73.38632643437086,73.43427895489863,64050
2007-12-24,73.41829681396484,73.43427895489863,73.37034429343707,73.43427895489863,2900
2007-12-26,73.38629913330078,73.43425163598933,73.37031699831265,73.37031699831265,17750
2007-12-27,73.41829681396484,73.45026719355883,73.37034429343707,73.45026719355883,7150
2007-12-28,73.41669464111328,73.46478833802162,73.41669464111328,73.44875506741849,59700
2007-12-31,73.40065002441406,73.464770861771,73.40065002441406,73.464770861771,31700
2008-01-02,73.46478271484375,73.46478271484375,73.40066186714132,73.44874944546784,29450
2008-01-03,73.41669464111328,73.46478833802162,73.41669464111328,73.46478833802162,30500
2008-01-04,73.40065002441406,73.49682516554985,73.3685896057356,73.49682516554985,173200
2008-01-07,73.46478271484375,73.46478271484375,73.40066186714132,73.41668902161662,30300
2008-01-08,73.41669464111328,73.48081549372368,73.38463421480809,73.44875506741849,18350
2008-01-09,73.36859130859375,73.4807997191229,73.36859130859375,73.4807997191229,168500
2008-01-10,73.40065002441406,73.44873759498196,73.3685896057356,73.43271044309253,12200
2008-01-11,73.4327163696289,73.49683109726075,73.41668310154587,73.44874352281184,41650
2008-01-14,73.496826171875,73.51285943888358,73.4327114485398,73.46477186765726,51900
2008-01-15,73.48078918457031,73.51284959939656,73.43270161978037,73.51284959939656,26800
2008-01-16,73.48078918457031,73.51284959939656,73.36858079012788,73.496816334534,254500
