timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-03-18,91.535,91.54,91.53,91.5301,91.5301,12044955,0.0000,1.0
2026-03-17,91.525,91.53,91.52,91.52,91.52,7548340,0.0000,1.0
2026-03-16,91.52,91.52,91.51,91.51,91.51,8509098,0.0000,1.0
2026-03-13,91.51,91.51,91.5,91.51,91.51,11181989,0.0000,1.0
2026-03-12,91.47,91.48,91.47,91.48,91.48,10138893,0.0000,1.0
2026-03-11,91.46,91.47,91.46,91.46,91.46,6613371,0.0000,1.0
2026-03-10,91.46,91.46,91.45,91.46,91.46,9226831,0.0000,1.0
2026-03-09,91.46,91.46,91.45,91.45,91.45,13422931,0.0000,1.0
2026-03-06,91.45,91.45,91.44,91.44,91.44,8733211,0.0000,1.0
2026-03-05,91.42,91.42,91.41,91.42,91.42,9248953,0.0000,1.0
2026-03-04,91.405,91.41,91.4,91.41,91.41,9932489,0.0000,1.0
2026-03-03,91.4,91.4,91.39,91.4,91.4,11602918,0.0000,1.0
2026-03-02,91.39,91.39,91.38,91.39,91.39,15489297,0.2431,1.0
2026-02-27,91.62,91.63,91.62,91.62,91.3769287707,11530646,0.0000,1.0
2026-02-26,91.59,91.6,91.59,91.6,91.3569818314355,6447688,0.0000,1.0
2026-02-25,91.59,91.59,91.58,91.59,91.3470083618032,6009103,0.0000,1.0
2026-02-24,91.58,91.58,91.57,91.58,91.337034892171,5476101,0.0000,1.0
2026-02-23,91.57,91.57,91.56,91.56,91.3170879529065,7714949,0.0000,1.0
2026-02-20,91.57,91.57,91.56,91.56,91.3170879529065,6518152,0.0000,1.0
2026-02-19,91.53,91.54,91.53,91.53,91.2871675440097,4941787,0.0000,1.0
2026-02-18,91.52,91.53,91.52,91.53,91.2871675440097,8752803,0.0000,1.0
2026-02-17,91.52,91.52,91.51,91.52,91.2771940743774,6709963,0.0000,1.0
2026-02-13,91.5,91.51,91.5,91.51,91.2672206047452,9832514,0.0000,1.0
2026-02-12,91.48,91.48,91.47,91.47,91.2273267262162,6366270,0.0000,1.0
2026-02-11,91.46,91.47,91.46,91.47,91.2273267262162,5732270,0.0000,1.0
2026-02-10,91.46,91.46,91.45,91.45,91.2073797869517,7085342,0.0000,1.0
2026-02-09,91.44,91.45,91.44,91.44,91.1974063173194,9180305,0.0000,1.0
2026-02-06,91.44,91.44,91.44,91.44,91.1974063173194,12369829,0.0000,1.0
2026-02-05,91.41,91.42,91.41,91.41,91.1674859084227,9393922,0.0000,1.0
2026-02-04,91.4,91.41,91.4,91.41,91.1674859084227,9216570,0.0000,1.0
2026-02-03,91.39,91.4,91.39,91.39,91.1475389691582,11708429,0.0000,1.0
2026-02-02,91.39,91.39,91.38,91.39,91.1475389691582,21391673,0.2739,1.0
2026-01-30,91.64,91.65,91.64,91.65,91.1336864499445,14545830,0.0000,1.0
2026-01-29,91.62,91.63,91.62,91.63,91.1137991206592,10237344,0.0000,1.0
2026-01-28,91.61,91.62,91.61,91.61,91.0939117913739,6265487,0.0000,1.0
2026-01-27,91.6,91.61,91.6,91.6,91.0839681267312,8041089,0.0000,1.0
2026-01-26,91.6,91.605,91.59,91.59,91.0740244620885,10052839,0.0000,1.0
2026-01-23,91.59,91.6,91.59,91.59,91.0740244620885,8147658,0.0000,1.0
2026-01-22,91.57,91.57,91.56,91.56,91.0441934681606,7679160,0.0000,1.0
2026-01-21,91.56,91.56,91.55,91.55,91.0342498035179,8153822,0.0000,1.0
2026-01-20,91.55,91.555,91.54,91.54,91.0243061388753,9247794,0.0000,1.0
2026-01-16,91.54,91.54,91.54,91.54,91.0243061388753,7648170,0.0000,1.0
2026-01-15,91.51,91.51,91.5,91.5,90.9845314803046,8938430,0.0000,1.0
2026-01-14,91.5,91.5,91.49,91.5,90.9845314803046,8005885,0.0000,1.0
2026-01-13,91.49,91.495,91.49,91.49,90.974587815662,7777437,0.0000,1.0
2026-01-12,91.48,91.49,91.48,91.48,90.9646441510193,6189724,0.0000,1.0
2026-01-09,91.47,91.48,91.47,91.47,90.9547004863767,7776620,0.0000,1.0
2026-01-08,91.45,91.45,91.45,91.45,90.9348131570914,7116528,0.0000,1.0
2026-01-07,91.44,91.45,91.44,91.45,90.9348131570914,8767154,0.0000,1.0
2026-01-06,91.43,91.44,91.43,91.43,90.914925827806,9135810,0.0000,1.0
2026-01-05,91.42,91.43,91.42,91.42,90.9049821631634,11770220,0.0000,1.0
2026-01-02,91.42,91.42,91.41,91.42,90.9049821631634,8517884,0.0000,1.0
2025-12-31,91.39,91.39,91.38,91.38,90.8652075045928,11225947,0.0000,1.0
2025-12-30,91.37,91.38,91.37,91.37,90.8552638399501,7852902,0.0000,1.0
2025-12-29,91.36,91.37,91.36,91.36,90.8453201753074,7988908,0.0000,1.0
2025-12-26,91.35,91.36,91.35,91.36,90.8453201753074,5588851,0.0000,1.0
2025-12-24,91.33,91.33,91.32,91.33,90.8154891813795,5073527,0.0000,1.0
2025-12-23,91.31,91.31,91.3,91.3,90.7856581874515,7111246,0.0000,1.0
2025-12-22,91.3,91.31,91.3,91.3,90.7856581874515,11026869,0.0000,1.0
2025-12-19,91.29,91.3,91.29,91.3,90.7856581874515,7581829,0.0000,1.0
2025-12-18,91.27,91.27,91.26,91.27,90.7558271935235,10277304,0.3654,1.0
2025-12-17,91.62,91.625,91.62,91.62,90.7405502563078,9641151,0.0000,1.0
2025-12-16,91.61,91.62,91.61,91.61,90.7306462451469,7212176,0.0000,1.0
2025-12-15,91.6,91.61,91.6,91.6,90.720742233986,6058074,0.0000,1.0
