,target_R,status,weights,exp_return_daily,vol_daily,exp_return_ann,vol_ann
0,0.00015979705198770683,optimal,"[-4.27916134e-06  3.52712819e-06 -8.63709603e-06 -8.33608695e-06
  1.00001774e+00]",0.00015979703340803945,0.0031350974797179905,0.04026885241882594,0.04976812960367501
1,0.00020138204999433132,optimal,[0.01334558 0.03300535 0.01256783 0.00958668 0.93149455],0.00020138205873776734,0.0029673019446144313,0.05074827880191737,0.047104458061728846
2,0.0002221745489976436,optimal,[0.02611217 0.01202779 0.35137536 0.00765505 0.60282963],0.00022217454899764352,0.002420107793193922,0.05598798634740617,0.038418020200562716
3,0.00024296704800095585,optimal,"[1.81347573e-02 3.63140336e-02 3.53099098e-01 3.08609894e-17
 5.92452111e-01]",0.00024296704800095577,0.0024167913259565406,0.061227696096240854,0.038365372915314284
4,0.0002637595470042681,optimal,"[5.94057217e-03 6.18190198e-02 3.52137430e-01 3.04803768e-17
 5.80102979e-01]",0.00026375954700426796,0.002425741039266084,0.06646740584507553,0.03850744520964854
5,0.0002845520460075804,optimal,"[-5.85432645e-17  8.47676233e-02  3.51133592e-01 -1.77974570e-17
  5.64098784e-01]",0.00028455204600758027,0.002448383610712473,0.07170711559391023,0.03886688488818949
6,0.0003053445450108926,optimal,"[-5.34246709e-17  1.05287801e-01  3.50089786e-01 -1.62408840e-17
  5.44622413e-01]",0.00030534454501089246,0.0024882242425699978,0.0769468253427449,0.03949933531201362
7,0.0003261370440142049,optimal,"[-4.82986392e-17  1.25807979e-01  3.49045980e-01 -1.46827074e-17
  5.25146041e-01]",0.0003261370440142047,0.002545055056994587,0.08218653509157958,0.040401496522649974
8,0.0003469295430175171,optimal,"[-4.31709665e-17  1.46328156e-01  3.48002174e-01 -1.31237292e-17
  5.05669670e-01]",0.000346929543017517,0.0026177697359904472,0.0874262448404143,0.0415558062663716
9,0.0003677220420208294,optimal,"[-3.80457289e-17  1.66848334e-01  3.46958368e-01 -1.15662683e-17
  4.86193298e-01]",0.0003677220420208292,0.00270508767397923,0.09266595458924896,0.04294193555985128
10,0.0003885145410241417,optimal,"[-3.29176988e-17  1.87368512e-01  3.45914562e-01 -1.00069323e-17
  4.66716927e-01]",0.00038851454102414157,0.0028056457443651583,0.09790566433808368,0.04453824543922144
11,0.00040930704002745393,optimal,"[-2.77986022e-17  2.07888689e-01  3.44870756e-01 -8.45063099e-18
  4.47240555e-01]",0.0004093070400274538,0.002918075486951524,0.10314537408691836,0.04632301227232463
12,0.0004300995390307662,optimal,"[-2.26704663e-17  2.28408867e-01  3.43826950e-01 -6.89209664e-18
  4.27764183e-01]",0.0004300995390307661,0.003041060479164056,0.10838508383575306,0.04827533849865008
13,0.00045089203803407843,optimal,"[-1.75440773e-17  2.48929045e-01  3.42783144e-01 -5.33339020e-18
  4.08287812e-01]",0.0004508920380340784,0.003173373743200247,0.11362479358458775,0.05037574644942001
14,0.0004716845370373907,optimal,"[-1.24223602e-17  2.69449222e-01  3.41739337e-01 -3.77645925e-18
  3.88811440e-01]",0.0004716845370373906,0.0033138981239387963,0.11886450333342244,0.05260650183687335
15,0.0004924770360407029,optimal,"[-7.29297022e-18  2.89969400e-01  3.40695531e-01 -2.21703715e-18
  3.69335069e-01]",0.0004924770360407029,0.0034616337794992837,0.12410421308225714,0.05495173266321422
16,0.0005132695350440152,optimal,"[-2.16852263e-18  3.10489578e-01  3.39651725e-01 -6.59218484e-19
  3.49858697e-01]",0.0005132695350440152,0.003615696870121858,0.12934392283109183,0.05739740840722226
17,0.0005340620340473274,optimal,"[2.95066243e-18 3.31009755e-01 3.38607919e-01 8.96996765e-19
 3.30382326e-01]",0.0005340620340473273,0.00377531284472699,0.13458363257992648,0.05993123345169254
18,0.0005548545330506397,optimal,"[8.08286815e-18 3.51529933e-01 3.37564113e-01 2.45713456e-18
 3.10905954e-01]",0.0005548545330506397,0.003939806858238776,0.1398233423287612,0.06254249496315904
19,0.0005756470320539519,optimal,"[1.32100082e-17 3.72050110e-01 3.36520307e-01 4.01584102e-18
 2.91429583e-01]",0.0005756470320539519,0.0041085930524454575,0.14506305207759587,0.06522189273083062
20,0.0005964395310572642,optimal,"[1.83340017e-17 3.92570288e-01 3.35476501e-01 5.57348761e-18
 2.71953211e-01]",0.0005964395310572643,0.004281163795826313,0.1503027618264306,0.06796136835413837
21,0.0006172320300605765,optimal,"[2.34530982e-17 4.13090466e-01 3.34432695e-01 7.12970284e-18
 2.52476839e-01]",0.0006172320300605765,0.004457079515613103,0.1555424715752653,0.07075394383171499
22,0.0006380245290638887,optimal,"[2.85843709e-17 4.33610643e-01 3.33388889e-01 8.68984067e-18
 2.33000468e-01]",0.0006380245290638887,0.004635959442878569,0.16078218132409994,0.07359357464422946
23,0.000658817028067201,optimal,"[3.37096349e-17 4.54130821e-01 3.32345083e-01 1.02476593e-17
 2.13524096e-01]",0.000658817028067201,0.004817473392686787,0.16602189107293466,0.0764750192683191
24,0.0006796095270705133,optimal,"[3.88295255e-17 4.74650999e-01 3.31301276e-01 1.18038746e-17
 1.94047725e-01]",0.0006796095270705133,0.005001334582707738,0.17126160082176936,0.07939372517563005
25,0.0007004020260738255,optimal,"[4.39550543e-17 4.95171176e-01 3.30257470e-01 1.33625810e-17
 1.74571353e-01]",0.0007004020260738255,0.005187293428450401,0.17650131057060403,0.08234573033519631
26,0.0007211945250771378,optimal,"[4.90828064e-17 5.15691354e-01 3.29213664e-01 1.49211154e-17
 1.55094982e-01]",0.0007211945250771378,0.0053751322219285115,0.18174102031943873,0.08532757873987731
27,0.00074198702408045,optimal,"[5.42095792e-17 5.36211532e-01 3.28169858e-01 1.64798218e-17
 1.35618610e-01]",0.0007419870240804499,0.005564660589766158,0.18698073006827337,0.08833624830601962
28,0.0007627795230837623,optimal,"[5.93258170e-17 5.56731709e-01 3.27126052e-01 1.80353213e-17
 1.16142239e-01]",0.0007627795230837624,0.005755711627687082,0.19222043981710812,0.09136908951037684
29,0.0007835720220870745,optimal,"[6.44575662e-17 5.77251887e-01 3.26082246e-01 1.95951151e-17
 9.66658670e-02]",0.0007835720220870744,0.005948138615449455,0.19746014956594277,0.09442377324131589
30,0.0008043645210903868,optimal,"[6.95901094e-17 5.97772065e-01 3.25038440e-01 2.11554249e-17
 7.71894955e-02]",0.0008043645210903868,0.006141812226193729,0.20269985931477746,0.09749824649858754
31,0.000825157020093699,optimal,"[7.47039649e-17 6.18292242e-01 3.23994634e-01 2.27094931e-17
 5.77131239e-02]",0.0008251570200936991,0.0063366181548802246,0.2079395690636122,0.10059069474594025
32,0.0008459495190970113,optimal,"[7.98299436e-17 6.38812420e-01 3.22950828e-01 2.42678554e-17
 3.82367524e-02]",0.0008459495190970113,0.006532455100910042,0.21317927881244683,0.1036995098862199
