Date,US_Equity,International,Bonds,REITs,Cash
2011-02-01,,,,,5.9523809523809525e-06
2011-02-02,-0.0015375610676821028,-0.002954727702127624,-0.0010368527540583483,-0.0008535641264863503,3.1746031746031746e-06
2011-02-03,0.0021854965225434064,0.0009910714004284227,-0.0031081149601402402,0.003121291680158955,2.7777777777777783e-06
2011-02-04,0.002903304828529518,-0.00045691421965887713,-0.0036161466307413903,-0.008444651890543275,0.00011264936441780616
2011-02-07,0.006448713582207888,0.0029247423568253827,6.0579442366259784e-05,0.010775657527239746,-0.00010647451963237307
2011-02-08,0.0047573828364123605,0.0040688261507204615,-0.0034623136269555377,0.003984819857465127,2.9761904761904763e-06
2011-02-09,-0.0022808139723704546,-0.004498696363166688,0.0026532704150261655,0.0005993723184650745,0.00011245095171939346
2011-02-10,0.0006529907762304887,-0.007940247504497844,-0.0030250337332190513,0.004045016434229831,-0.00010726817042602387
2011-02-11,0.0062323239393276,0.0021755090946838918,0.0031406493442812655,0.006929864615350945,2.3809523809523808e-06
2011-02-14,0.002508645497009576,0.0021429931112917355,0.001015877877129312,-7.761751038570797e-05,2.579365079365079e-06
2011-02-15,-0.0031770108092390448,-0.0030507473259087092,0.0012040872457100837,-0.0038796587915259084,0.00011225253902098077
2011-02-16,0.006421772389279212,0.012264100765350006,0.00018134284375803666,0.0031438465067257226,2.3809523809523808e-06
2011-02-18,0.00535857957482333,0.006358156798074166,0.0017096276131389754,0.00477710850218771,-0.00010766499582284926
2011-02-22,-0.020775171873143317,-0.026751550002374558,0.003775312868741443,-0.009129698393615826,2.3809523809523808e-06
2011-02-23,-0.007276446482486154,0.0001556053615566766,-6.762341272825712e-05,-0.008398121466822617,0.00011205412632256807
2011-02-24,-0.0003187315765976195,0.0011216928058706,0.000992373934610602,-0.007270476824261907,2.579365079365079e-06
2011-02-25,0.011668066036422564,0.011662496498348607,0.0018629999809743891,0.019737514646102183,2.579365079365079e-06
2011-02-28,0.005865485858927877,0.009077421043528822,0.0024297631444469836,0.024811112550827685,-0.00010667293233078577
2011-03-01,-0.01683357241015576,-0.012698204878848096,0.00024136180392664297,-0.029713281484047616,2.7777777777777783e-06
2011-03-02,0.0021353806148191046,0.0062965646186545765,-0.002419859118048595,-0.010057308545691368,0.00011225253902098077
2011-03-03,0.017691464965568615,0.012207498970453146,-0.003911616184904598,0.01532119958593725,-0.00010706975772761117
2011-03-04,-0.00709324712802456,-0.007834391495297743,0.003610945581477454,-0.010246070098925752,0.00011205412632256807
2011-03-07,-0.008475329295735301,-0.008148288089050437,-0.0005482753557973785,-0.007608986526099593,-0.00010746658312443657
2011-03-08,0.008901383740172797,0.0033181307054036546,-0.001391841293371332,0.014471153946613247,2.182539682539683e-06
2011-03-09,-0.001472173745758365,-0.0004198401023754461,0.0023266016341910722,-0.0008284582244794669,1.984126984126984e-06
2011-03-10,-0.018784574982434243,-0.024779760462353084,0.0046551640707880315,-0.015257388170905273,1.5873015873015873e-06
2011-03-11,0.006718364360263629,0.0018065861583975718,-0.00042712862326971246,0.010057584631334326,0.00011126047552891727
2011-03-14,-0.005976639487610513,-0.016164416157388173,0.000994446455557907,-0.009840661119460137,1.7857142857142857e-06
2011-03-15,-0.011057065562102897,-0.01922128217850949,0.0007923831984752994,-0.005061288100038808,0.00011163324979110324
2011-03-16,-0.017946066357121093,-0.02940882495123326,0.004208118364383284,-0.015314701752130289,1.984126984126984e-06
2011-03-17,0.012452079237851965,0.029434891345959002,-0.0016136054862792015,0.008450964137382333,1.5873015873015873e-06
2011-03-18,0.004085326709945547,0.01462544595708537,-8.16399234068732e-05,0.009509928450557203,1.3888888888888892e-06
2011-03-21,0.015600746836215929,0.02308413739270343,-0.002836325987120858,0.011235705611146507,1.984126984126984e-06
2011-03-22,-0.00336657624272102,-0.0026536258599489937,-0.000672879921163716,-0.0068746648887158535,-0.00021726603745345186
2011-03-23,0.0026907786993753957,0.0028172326010716953,-0.00018618090826488798,-0.01121525871310175,0.00011145888822732997
2011-03-24,0.00950792030611236,0.011674730323671278,-0.0017712650648702977,0.004692338139195118,-0.00010786340852126196
2011-03-25,0.00329594710733383,-0.008662545657828036,-0.0015875838185513413,0.007909406449212342,1.7857142857142857e-06
2011-03-28,-0.0024255957506539305,-0.0025336591684887444,-0.00044084462842025607,-0.0016575844066326617,0.00011185571362415537
2011-03-29,0.007101712484140599,0.0066271216339688355,-0.0018306059240490447,0.004334469281710329,-0.00010766499582284926
2011-03-30,0.007152765555269003,0.012590959650933709,0.0018339675244148923,0.014422798002625914,0.00011165730092574268
2011-03-31,-0.0007051193962988589,-0.0030061151022820476,0.00036034162432646566,0.008627439332000941,-0.00010786340852126196
2011-04-01,0.004516822662928632,0.00917880783613989,0.0006439150032195862,0.0010446059686193276,1.3888888888888892e-06
2011-04-04,0.0008866330955994428,0.0032919692392696653,0.0015540259406505719,-0.0005531876195983276,1.1904761904761904e-06
2011-04-05,0.00018352917118291678,-0.0031669981893966415,-0.0025337858154632076,0.0010609299966465313,1.3888888888888892e-06
2011-04-06,0.0029941202635531683,0.00782503928319711,-0.0016976271246600394,2.3362938136872735e-06,1.1904761904761904e-06
2011-04-07,-0.002781352633259293,-0.004984843734236577,-0.00013493860293567472,-0.011177698996178431,0.00011046682473526649
2011-04-08,-0.0038112574690217227,0.007894578134516661,-0.0007833809098292677,-0.007307263807200981,-0.00010885547201332545
2011-04-11,-0.003359001722607835,-0.004054173678541051,6.752903748608041e-05,0.0009652914826520087,9.92063492063492e-07
2011-04-12,-0.007936832625387802,-0.009393838277477695,0.0036683398434598224,-0.001620255771946133,0.00011066523743367917
2011-04-13,0.0002301921488817027,0.0035103591951177737,0.0013784629306057283,-0.0013640482819733402,1.1904761904761904e-06
2011-04-14,0.0006896101691790113,0.003444968052925268,-0.0007196936403067178,0.014817878994657918,-0.00010826023391808736
2011-04-15,0.004267891790502687,-0.0010676490872080224,0.003479628570032367,0.012974124192869696,0.00011106206283050458
2011-04-18,-0.011592065664643603,-0.019195437225256684,0.0015034854282827137,-0.009723147899201423,-0.00010826023391808736
2011-04-19,0.005748323687465362,0.008243341977019591,0.0012897598818807365,0.008833621166642658,1.1904761904761904e-06
2011-04-20,0.014012035938999357,0.024513559983564637,-0.0016184128234343342,0.01175600628157314,1.1904761904761904e-06
2011-04-21,0.005174472480996228,0.005318849192778363,0.0003790356144836027,0.006472242829268171,1.1904761904761904e-06
2011-04-25,-0.0010677935439304398,-0.0003788139679041236,0.0012418474843126637,0.006894920809873972,1.3888888888888892e-06
2011-04-26,0.008639051514693241,0.007790858236113807,0.002485923684920288,0.008871995616841266,1.3888888888888892e-06
2011-04-27,0.006609001891873856,0.010501853009924456,-0.0007219991830914041,0.00651410079934045,1.1904761904761904e-06
2011-04-28,0.0031344297773195917,0.004335565316531564,0.0018969230914890334,0.014106830227334055,7.936507936507937e-07
2011-04-29,0.0023469572952896645,-0.000127319372881185,0.0025172832547273316,-0.00505729750107381,7.936507936507937e-07
2011-05-02,-0.0015336995255438302,0.0023863670613096244,0.00014019657034924915,0.0011830015019685947,9.92063492063492e-07
2011-05-03,-0.004576205264435085,-0.009084364345220086,0.0014771275561515917,-0.008660885449799705,5.952380952380952e-07
2011-05-04,-0.0070798751881436806,-0.00957114745116805,0.0010510313241195446,-0.005521715309731334,0.00021994158597846947
2011-05-05,-0.008441077766117688,-0.01874431971030488,0.002582151433121571,-0.0006161135729097489,3.9682539682539683e-07
2011-05-06,0.0042251983070148436,0.002196163452199973,0.00036714493413414484,-0.008820067025901324,3.9682539682539683e-07
2011-05-09,0.004648378207550485,0.0063668874136880715,0.0004255756277240508,0.005271179979063012,5.952380952380952e-07
2011-05-10,0.00879808858353237,0.009371444102114657,-0.0027275462431077813,0.016078247753785635,5.952380952380952e-07
2011-05-11,-0.010501679006728104,-0.01909247364322847,0.0015980431055758748,-0.010796077628100587,5.952380952380952e-07
2011-05-12,0.004810728729932712,0.003447510784696406,-0.0010027274973950506,0.00105890124381125,3.9682539682539683e-07
2011-05-13,-0.008390842582527702,-0.01610352490909417,0.0017138630075528294,-0.01027097082663675,-0.00010902984412355132
2011-05-16,-0.006660496594726395,-0.0023062732077669956,0.0016041191603449745,0.0020433813034786974,7.936507936507937e-07
2011-05-17,-0.0005114790934917512,0.002075938203686678,0.0017086474898098114,-0.0008421157755999498,7.936507936507937e-07
2011-05-18,0.00926413245916946,0.00826566966318898,-0.0027778995430216002,0.010032748637560096,-0.00010865705931491276
2011-05-19,0.002349453717640504,0.003614533968794631,-0.00016858462215063597,0.004214130598046983,0.00022033841137529488
