,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,10000.028826850268,10005.49911171907,10003.129734211107,10003.931278881706,10005.60244006614,10007.459743832751,10009.493871147402,10011.527998462223,10013.562125777127,10015.596253091875,10017.63038040682,10019.664507721442,10021.6986350363,10023.732762351177,10025.766889665869,10027.80101698082,10029.835144295603,10031.869271610216,10033.903398925246,10035.937526240126,10037.971653554889,10040.005780869502,10042.039908184532,10044.074035499314,10046.108162813927,10048.142290128802,10050.176417443665,10052.210544758544,10054.24467207308,10056.278799388074,10058.312926703122,10060.347054017504,10062.381181332346,10064.415308647565,10066.460151445179,10068.785761205065,10071.763805475355,10073.436980724842,10075.762590484728,10078.088200244616,10080.413810004504,10082.739419764393,10085.06502952428,10087.390639284167,10089.716249044057,10092.501742083821,10094.65419083688,10096.693078323715,10099.018706170711,10070.242092599738,10060.433951191824
1,10000.058629275334,10015.248852602632,10002.041938631446,10006.789282367037,10012.307722390413,10018.452147801472,10025.191217807966,10031.930287815245,10038.669357822917,10045.408427829847,10052.147497837697,10058.886567844054,10065.62563785151,10072.364707859051,10079.10377786572,10085.84284787361,10092.581917880714,10099.32098788703,10106.060057895274,10112.799127902814,10119.538197909833,10126.277267916148,10133.016337924393,10139.755407931496,10146.494477937811,10153.23354794535,10159.972617952808,10166.711687960349,10173.450757966311,10180.189827974387,10186.928897982714,10193.667967987974,10200.407037995346,10207.146108004461,10213.93464382773,10222.019282417621,10233.116350410059,10238.188559597405,10246.273198187295,10254.357836777186,10262.44247536708,10270.52711395697,10278.611752546863,10286.696391136755,10294.781029726648,10304.992842464251,10312.27813978214,10319.034945496318,10327.119602753975,10233.677342821928,10140.485071638812
2,10000.090498961255,10013.842391933218,9997.57820273364,10001.758561593735,10006.69971359134,10012.246181057268,10018.367657256258,10024.489133456125,10030.61060965643,10036.73208585591,10042.85356205641,10048.975038255252,10055.096514455316,10061.217990655474,10067.33946685466,10073.46094305521,10079.582419254883,10085.703895453675,10091.825371654619,10097.946847854779,10104.068324054355,10110.189800253147,10116.311276454091,10122.43275265376,10128.554228852554,10134.675705052712,10140.79718125278,10146.918657452938,10153.040133651337,10159.161609852092,10165.28308605313,10171.404562250746,10177.526038450715,10183.647514652632,10189.82413927565,10197.445762275654,10208.425788603221,10212.689008275669,10220.310631275675,10227.932254275682,10235.55387727569,10243.175500275696,10250.797123275705,10258.41874627571,10266.040369275719,10276.03385733562,10282.764305920442,10288.905238275736,10296.526879886911,10217.815056297584,10127.36607915626
3,10000.118217699448,10014.41706161973,9987.653528883005,9991.597338199485,9996.545339826214,10002.21657591315,10008.574834133253,10014.933092354646,10021.291350576681,10027.649608797501,10034.007867019825,10040.36612523971,10046.724383461391,10053.082641683208,10059.4408999036,10065.799158125994,10072.157416347098,10078.515674566914,10084.873932789884,10091.232191011706,10097.59044923267,10103.948707452484,10110.306965675456,10116.665223896558,10123.023482116374,10129.381740338193,10135.739998559875,10142.098256781694,10148.456515000931,10154.814773223627,10161.173031446735,10167.531289664823,10173.889547886365,10180.247806110763,10186.68697165215,10195.246069902518,10208.732059187236,10212.364266403256,10220.923364653621,10229.48246290399,10238.041561154358,10246.600659404725,10255.159757655094,10263.718855905461,10272.277954155832,10284.317222046484,10291.568895633392,10297.95524890693,10306.5143658492,10240.560999013627,10134.086660304096
4,10001.239412559731,10014.414062281734,9975.806815592327,9979.991800363987,9984.486859433973,9989.895510154696,9996.172008160287,10002.448506167631,10008.725004175849,10015.001502182411,10021.27800019102,10027.55449819631,10033.830996204044,10040.107494211967,10046.383992217947,10052.660490226652,10058.936988233601,10065.2134862388,10071.489984248286,10077.766482256211,10084.042980262971,10090.31947826817,10096.595976277657,10102.872474284606,10109.148972289804,10115.425470297725,10121.701968305462,10127.978466313383,10134.254964317795,10140.531462326908,10146.807960336582,10153.084458339432,10159.360956346978,10165.637454358408,10172.023923628307,10181.291858710698,10197.25670572157,10199.827728875483,10209.095663957873,10218.363599040265,10227.631534122658,10236.899469205047,10246.16740428744,10255.435339369831,10264.703274452226,10278.703035074434,10286.193862171018,10292.507079699397,10301.775033548536,10269.476931241308,10114.74851193892
5,10000.179642212588,10016.366665894922,9978.31830579919,9981.887440452017,9986.359757913287,9992.086521027617,9999.004922952234,10005.923324878626,10012.841726805902,10019.760128731505,10026.67853065918,10033.596932583494,10040.51533451028,10047.43373643726,10054.352138362274,10061.270540290043,10068.188942216038,10075.107344140259,10082.025746068823,10088.944147995804,10095.862549921605,10102.780951845827,10109.699353774391,10116.617755700383,10123.536157624605,10130.454559551585,10137.372961478375,10144.29136340535,10151.209765328778,10158.12816725696,10165.046569185713,10171.964971107558,10178.883373034154,10185.801774964682,10192.831498596719,10202.778072336172,10219.504081766134,10222.67121981508,10232.617793554531,10242.564367293984,10252.510941033437,10262.457514772892,10272.404088512345,10282.350662251798,10292.297235991253,10307.032216278132,10315.17989913049,10322.136957209608,10332.083549901248,10335.757177259555,10155.801396371404
6,10000.209301501842,10018.395033652629,9968.318475923306,9972.143547137635,9977.11876045133,9983.55075719671,9991.36659852456,9999.182439854683,10006.99828118594,10014.814122515054,10022.629963846819,10030.445805174282,10038.261646504912,10046.077487835788,10053.893329164144,10061.709170496035,10069.525011825648,10077.340853152991,10085.156694485897,10092.972535816773,10100.788377146142,10108.604218473483,10116.42005980639,10124.235901136002,10132.051742463345,10139.867583794221,10147.683425124855,10155.499266455729,10163.315107782053,10171.13094911447,10178.946790447619,10186.762631771915,10194.578473102301,10202.394314437724,10210.352784185907,10222.048402176008,10242.429842792342,10245.439638156211,10257.135256146312,10268.830874136413,10280.526492126515,10292.222110116618,10303.917728106719,10315.613346096818,10327.308964086922,10345.1399244149,10354.530754100664,10362.39581805722,10374.09145517041,10385.069487989986,10175.300202133994
7,10001.327302919766,10017.94357172454,9976.968502039346,9979.845363785184,9983.894435445136,9989.358076973445,9996.165465298469,10002.972853625382,10009.780241953238,10016.58763027931,10023.395018607585,10030.202406932287,10037.009795259622,10043.817183587158,10050.624571912602,10057.431960240983,10064.239348567473,10071.046736892074,10077.8541252213,10084.661513548837,10091.468901875121,10098.276290199723,10105.083678528948,10111.891066855436,10118.698455180038,10125.505843507577,10132.313231834913,10139.120620162448,10145.928008486204,10152.735396815022,10159.54278514445,10166.350173466519,10173.15756179365,10179.964950124968,10186.890864968282,10196.922410291238,10214.172214990202,10216.98550093715,10227.017046260105,10237.048591583061,10247.08013690602,10257.111682228977,10267.143227551933,10277.174772874889,10287.206318197848,10302.335712285338,10310.451955066248,10317.300954166712,10327.33251850071,10360.034019486098,10167.56224496893
8,10000.260268654632,10014.37945134814,9965.398809672894,9965.874638394465,9967.789571974674,9971.380828199854,9976.564479505952,9981.748130814198,9986.931782123516,9992.115433430805,9997.299084740598,10002.482736046331,10007.666387355053,10012.85003866401,10018.033689970587,10023.217341280499,10028.400992588262,10033.584643893882,10038.768295204753,10043.951946513707,10049.135597821238,10054.319249126858,10059.50290043773,10064.686551745493,10069.870203051112,10075.053854360067,10080.237505668792,10085.421156977744,10090.604808282404,10095.788459592812,10100.972110903915,10106.155762206658,10111.33941351515,10116.523064828398,10121.841329446821,10130.686730538591,10147.730139773901,10148.377532722134,10157.222933813904,10166.068334905673,10174.913735997445,10183.759137089217,10192.604538180987,10201.449939272758,10210.295340364533,10224.930166074306,10231.600325729863,10236.831543639839,10245.676963712613,10367.68655414055,10154.866421013103
9,10000.283014401428,10017.068819815377,9978.82322192001,9978.81831527963,9980.46832844238,9984.14436424843,9989.744992541115,9995.345620835578,10000.946249130931,10006.546877424604,10012.14750572035,10017.74813401273,10023.348762307593,10028.949390602644,10034.550018895725,10040.15064719157,10045.751275485636,10051.351903777922,10056.952532074563,10062.553160369616,10068.153788663489,10073.754416955775,10079.355045252418,10084.95567354648,10090.556301838767,10096.15693013382,10101.757558428682,10107.358186723732,10112.958815015223,10118.55944331148,10124.160071608314,10129.760699898216,10135.361328192885,10140.961956491497,10146.674222460024,10155.311617537003,10170.748486270875,10172.586407690962,10181.22380276794,10189.861197844919,10198.4985929219,10207.13598799888,10215.773383075859,10224.410778152838,10233.048173229821,10246.484840284893,10253.318311193138,10258.960358460752,10267.597772672822,10432.790206738237,10192.770460162687
